Day;Month;Year;Plot;Subplot;Group;Order;Family;Genus;Species;raw_species_id;number_animal;Plant;Plant_Simple;Jar;Time;comments;;
5;2;2019;9;E2;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;NA;NA;;;Foto;;
5;2;2019;9;E2;Snails;Gastropoda;NA;NA;NA;Gastropoda;1;NA;NA;;;Foto;;
14;2;2019;1;A3;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;LEMA;LEMA;;;;;
14;2;2019;1;D1;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;LEMA;LEMA;;;;;
14;2;2019;1;E3;Caterpillars;Lepidoptera;NA;NA;NA;Lepidoptera;1;NA;NA;;;----------------------------------------------------->;;
14;2;2019;1;E4;Caterpillars;Lepidoptera;NA;NA;NA;Lepidoptera;1;NA;NA;;;;;
14;2;2019;1;F3;Caterpillars;Lepidoptera;NA;NA;NA;Lepidoptera;1;NA;NA;;;------>;;
14;2;2019;2;B2;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
14;2;2019;3;B2;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
14;2;2019;3;C1;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
14;2;2019;3;D6;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
14;2;2019;3;E4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
14;2;2019;3;F6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;;;;;
14;2;2019;5;C5;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;2;NA;NA;;;;;
14;2;2019;5;D4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
14;2;2019;5;F5;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
14;2;2019;6;F2;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
14;2;2019;8;A2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;;;;;
14;2;2019;8;B2;Snails;Gastropoda;NA;NA;NA;Gastropoda;1;NA;NA;;;;;
14;2;2019;8;C2;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;2;NA;NA;;;;;
14;2;2019;8;C3;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;2;NA;NA;;;;;
14;2;2019;9;C4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
14;2;2019;9;F4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
26;2;2019;1;A3;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;;;
26;2;2019;1;C6;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;80;MESP;MESU;;;Black;;
26;2;2019;1;D4;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;LEMA;LEMA;;;;;
26;2;2019;1;E3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;LEMA;LEMA;;;;;
26;2;2019;1;F3;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;LEMA;LEMA;;;Swollen brown aphid (Macrosiphum rosaeNA); infected by parasitoid wasp Aphidius;
26;2;2019;2;A3;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;5;HOMA;HOMA;;;;;
26;2;2019;2;A3;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;50;MESP;MESU;;;;;
26;2;2019;2;D2;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;MESP;MESU;;;;;
26;2;2019;2;E3;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;MESP;MESU;;;;;
26;2;2019;3;A6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;;;;
26;2;2019;3;B5;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;2;HOMA;HOMA;;;;;
26;2;2019;3;D3;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;15;HOMA;HOMA;;;;;
26;2;2019;3;E3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;LEMA;LEMA;;;;;
26;2;2019;3;E3;Caterpillars;Lepidoptera;Pieridae;Colias;Colias_crocea;Colias_crocea;1;MESP;MESU;;;;;
26;2;2019;5;C2;Grasshoppers;Orthoptera;Gryllidae;Gryllus;Gryllus_bimaculatus;Gryllus_bimaculatus;1;HOMA;HOMA;;;;;
26;2;2019;8;C1;Grasshoppers;Orthoptera;Acrididae;Calliptamus;Calliptamus_barbarous;Calliptamus_barbarous;1;NA;NA;;;;;
26;2;2019;9;D6;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;7;SOAS;SOAS;;;;;
26;2;2019;9;F4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;SOAS;SOAS;;;;;
4;3;2019;1;B6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;;Damp morning but warm. Cool; shady and windy by end of day. Many ladybird NAe.;
4;3;2019;1;C1;Caterpillars;Lepidoptera;Pieridae;Colias;Colias_crocea;Colias_crocea;1;HOMA;HOMA;;;;;
4;3;2019;1;D1;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;MESP;MESU;;;;;
4;3;2019;1;E4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;;;
4;3;2019;1;E6;Snails;Gastropoda;NA;NA;NA;Gastropoda;2;HOMA;HOMA;;;Too small to identify.;;
4;3;2019;2;A2;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;;;
4;3;2019;2;A5;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;2;MESP;MESU;;;Young;;
4;3;2019;2;B3;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;MESP;MESU;;;;;
4;3;2019;2;D6;Snails;Gastropoda;NA;NA;NA;Gastropoda;1;HOMA;HOMA;;;;;
4;3;2019;2;F5;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;LEMA;LEMA;;;;;
4;3;2019;3;A2;Beetles;Coleoptera;NA;NA;NA;Coleoptera;1;HOMA;HOMA;;;Small;brown. Ran into ground.;
4;3;2019;3;A5;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;;;;
4;3;2019;3;B3;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;;;
4;3;2019;3;C5;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;;;
4;3;2019;3;D5;Snails;Gastropoda;NA;NA;NA;Gastropoda;10;LEMA;LEMA;;;Cluster;;
4;3;2019;3;E4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;;;
4;3;2019;4;A3;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;;;
4;3;2019;6;C4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;;;
4;3;2019;6;F3;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;;;
4;3;2019;8;B2;Bugs;Hemiptera;Miridae;Mirini;NA;Miridae;1;CHFU;CHFU;;;Yellow;;
4;3;2019;8;D5;Caterpillars;Lepidoptera;NA;NA;NA;Lepidoptera;1;NA;NA;;;Likely NAn NA. Photo.;;
4;3;2019;8;F2;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;CHFU;CHFU;;;White/green;;
4;3;2019;9;A3;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;1;NA;NA;;;;;
4;3;2019;9;B3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;B3 (asked Oscar);;;;
4;3;2019;9;C2;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;CHFU;CHFU;;;;;
4;3;2019;9;C6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;;Young;;
4;3;2019;9;D3;Caterpillars;Lepidoptera;NA;NA;NA;Lepidoptera;1;HOMA ;HOMA;;;Brown. Stick like camoflage. Crocallis tusciariaNA.dry;;
4;3;2019;9;D4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;SPRU ;SPRU ;;;dry;;
4;3;2019;9;E2;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;CHFU;CHFU;;;;;
12;3;2019;1;A3;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;LEMA;LEMA;;;;;
12;3;2019;1;A3;Snails;Gastropoda;NA;NA;NA;Gastropoda;2;LEMA;LEMA;;;;;
12;3;2019;1;A5;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;;Sunny but cool. Warmed up as day went on.;;
12;3;2019;1;C2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;LEMA;LEMA;;;;;
12;3;2019;1;D5;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;;;;;
12;3;2019;1;D5;Caterpillars;Lepidoptera;Pieridae;Colias;Colias_crocea;Colias_crocea;1;CHFU;CHFU;;;;;
12;3;2019;1;E4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;Rush;Rush;;;Last year JUNCO;;
12;3;2019;1;E6;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;LEMA;LEMA;1;;;;
12;3;2019;1;F3;Snails;Gastropoda;NA;NA;NA;Gastropoda;3;LEMA;LEMA;;;;;
12;3;2019;2;E2;Snails;Gastropoda;NA;NA;NA;Gastropoda;1;MESP;MESU;;;;;
12;3;2019;2;F4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;Stick;Stick;;;;;
12;3;2019;3;F2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;;;;
12;3;2019;3;F3;Snails;Gastropoda;NA;NA;NA;Gastropoda;2;LEMA;LEMA;;;;;
12;3;2019;4;A2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;;;;;
12;3;2019;4;A6;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;HOMA;HOMA;;;;;
12;3;2019;4;C6;Grasshoppers;Orthoptera;Gryllidae;Gryllus;Gryllus_bimaculatus;Gryllus_bimaculatus;1;NA;NA;;;;;
12;3;2019;5;C6;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;HOMA;HOMA;;;;;
12;3;2019;5;D6;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;2;CHFU;CHFU;;;----------------->;;
12;3;2019;5;E2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;;;;
12;3;2019;6;C6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;;;;
12;3;2019;7;B3;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;POMA;POMA;;;;;
12;3;2019;7;C3;Grasshoppers;Orthoptera;Acrididae;Calliptamus;Calliptamus_barbarous;Calliptamus_barbarous;1;NA;NA;;;;;
12;3;2019;7;E2;Grasshoppers;Orthoptera;Gryllidae;Gryllus;Gryllus_bimaculatus;Gryllus_bimaculatus;1;NA;NA;;;Ground is barer at this site. Easier to see.;;
12;3;2019;7;F6;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;HOMA;HOMA;;;;;
19;3;2019;1;A2;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;10:00:00;;;
19;3;2019;1;A3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;LEMA;LEMA;;10:00:00;;;
19;3;2019;1;E3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;LEMA;LEMA;;10:00:00;;;
19;3;2019;1;F2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;10:00:00;;;
19;3;2019;1;F3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;10:00:00;10.00AM. Misty; wet morning.;
19;3;2019;2;B3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;10:36;Sun starting to show;;
19;3;2019;2;C2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;LEMA;LEMA;;10:36;;;
19;3;2019;2;C3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;HOMA;HOMA;;10:36;;;
19;3;2019;2;D1;Snails;Gastropoda;NA;NA;NA;Gastropoda;1;LEMA;LEMA;;10:36;;;
19;3;2019;2;D2;Beetles;Coleoptera;Cantharidae;NA;NA;Cantharidae;1;LEMA;LEMA;;10:36;;;
19;3;2019;2;D2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;MESU;MESU;;10:36;;;
19;3;2019;2;D4;Beetles;Coleoptera;Cantharidae;NA;NA;Cantharidae;1;HOMA;HOMA;;10:36;;;
19;3;2019;2;E5;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;10:36;10;21;
19;3;2019;3;A2;Beetles;Coleoptera;Cantharidae;NA;NA;Cantharidae;1;HOMA;HOMA;;10:36;;;
19;3;2019;3;B2;Snails;Gastropoda;NA;NA;NA;Gastropoda;1;LEMA;LEMA;;10:36;;;
19;3;2019;3;B6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;;10:36;10.36 Warm sun; still damp.;
19;3;2019;3;F5;Snails;Gastropoda;NA;NA;NA;Gastropoda;3;LEMA;LEMA;;10:36;;;
19;3;2019;5;C6;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;CHFU;CHFU;;11:00;11;11;
19;3;2019;5;F4;Bugs;Hemiptera;Aphrophoridae;Philaenus;Philaenus_spumarius;Philaenus_spumarius;1;HOMA;HOMA;;11:00;;;
19;3;2019;6;A6;Snails;Gastropoda;NA;NA;NA;Gastropoda;1;HOMA;HOMA;;11:27;11.27 Drying; sun; cool temp.
19;3;2019;6;B2;Bugs;Hemiptera;Aphrophoridae;Philaenus;Philaenus_spumarius;Philaenus_spumarius;1;HOMA;HOMA;;11:27;;;
19;3;2019;6;B5;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;2;HOMA;HOMA;;11:27;;;
19;3;2019;6;C4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;11:27;;;
19;3;2019;6;D6;Snails;Gastropoda;NA;NA;NA;Gastropoda;2;HOMA;HOMA;;11:27;;;
19;3;2019;6;D6;Snails;Gastropoda;NA;NA;NA;Gastropoda;2;MEEL;MESU;;11:27;;;
19;3;2019;6;E6;Snails;Gastropoda;NA;NA;NA;Gastropoda;2;HOMA;HOMA;;11:27;;;
19;3;2019;7;C3;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;CHFU;CHFU;;11:27;;;
19;3;2019;7;D6;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;CHFU;CHFU;;11:27;11;48;
19;3;2019;7;E3;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;1;NA;NA;;11:27;;;
19;3;2019;8;B6;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;CHFU;CHFU;;11:27;12;3;
19;3;2019;8;D1;Snails;Gastropoda;NA;NA;NA;Gastropoda;1;NA;NA;;11:27;;;
19;3;2019;8;D3;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;HOMA;HOMA;;11:27;;;
19;3;2019;8;D6;Beetles;Coleoptera;Coccinellidae;NA;NA;Coccinellidae;3;CHFU;CHFU;;11:27;Like ladybird NAe but all black;;
19;3;2019;8;D6;Beetles;Coleoptera;Coccinellidae;NA;NA;Coccinellidae;4;MESU;MESU;;11:27;;;
19;3;2019;8;D6;Beetles;Coleoptera;Coccinellidae;NA;NA;Coccinellidae;6;HOMA;HOMA;;11:27;;;
19;3;2019;8;D6;Grasshoppers;Orthoptera;Tettigoniidae;Conocephalus;Conocephalus_dorsalis;Conocephalus_dorsalis;1;CHFU;CHFU;;11:27;;;
19;3;2019;8;D6;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;1;PLCO;PLCO;;11:27;;;
19;3;2019;8;E6;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;1;LEMA;LEMA;;11:27;;;
19;3;2019;8;F3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;LEMA;LEMA;;11:27;;;
19;3;2019;8;F6;Bugs;Hemiptera;Miridae;Mirini;NA;Mirini;1;CHFU;CHFU;;12:00;;;
19;3;2019;9;A2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;POMA;POMA;;12:00;;;
19;3;2019;9;A3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;;12:00;;;
19;3;2019;9;A6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;POMA;POMA;;12:00;12;24;
19;3;2019;9;B2;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;4;MESP;MESU;;12:00;;;
19;3;2019;9;B2;Beetles;Coleoptera;Coccinellidae;NA;NA;Coccinellidae;4;MESP;MESU;;12:00;;;
19;3;2019;9;B3;Beetles;Coleoptera;Coccinellidae;NA;NA;Coccinellidae;1;PLCO;PLCO;;12:00;;;
19;3;2019;9;B5;Beetles;Coleoptera;Cantharidae;NA;NA;Cantharidae;1;POMA;POMA;;12:00;;;
19;3;2019;9;B6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;POMA;POMA;;12:00;;;
19;3;2019;9;C1;Snails;Gastropoda;NA;NA;NA;Gastropoda;3;HOMA;HOMA;;12:00;;;
19;3;2019;9;C2;Snails;Gastropoda;NA;NA;NA;Gastropoda;1;HOMA;HOMA;;12:00;;;
19;3;2019;9;C3;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;1;POMA;POMA;;12:00;;;
19;3;2019;9;C4;Beetles;Coleoptera;Cantharidae;NA;NA;Cantharidae;1;POMA;POMA;;12:00;;;
19;3;2019;9;C5;Beetles;Coleoptera;Meloidae;Lagorina;Lagorina_sericea;Lagorina_sericea;2;LEMA;LEMA;;12:00;;;
19;3;2019;9;C6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;2;NA;NA;;12:00;;;
19;3;2019;9;D3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;LEMA;LEMA;;12:00;;;
19;3;2019;9;D6;Beetles;Coleoptera;Coccinellidae;NA;NA;Coccinellidae;1;PLCO;PLCO;;12:00;;;
19;3;2019;9;D6;Caterpillars;Lepidoptera;NA;NA;NA;Lepidoptera;1;HOMA;HOMA;;12:00;;;
19;3;2019;9;E2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;2;POMA;POMA;;12:00;;;
19;3;2019;9;E3;Beetles;Coleoptera;Coccinellidae;NA;NA;Coccinellidae;2;LEMA;LEMA;;12:00;;;
19;3;2019;9;E6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;2;POMA;POMA;;12:00;;;
19;3;2019;9;F2;Beetles;Coleoptera;Coccinellidae;NA;NA;Coccinellidae;1;LEMA;LEMA;;12:00;;;
19;3;2019;9;F2;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;2;LEMA;LEMA;;12:00;;;
19;3;2019;9;F4;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;2;POMA;POMA;;12:00;;;
19;3;2019;9;F6;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;4;SOAS;SOAS;;12:00;;;
19;3;2019;9;F6;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;1;POMA;POMA;;12:00;;;
19;3;2019;9;F6;Beetles;Coleoptera;Meloidae;Lagorina;Lagorina_sericea;Lagorina_sericea;1;LEMA;LEMA;;12:00;;;
