Day,Month,Year,Plot,Subplot,Type,Group,Order,Family,Genus,Species,raw_species_id,Aspect,Stage,number_animal,Plant,Jar,Time,Observers,Weather,comments
13,1,2020,6,D3,P,Mantis,Dictyoptera,Mantidae,Apteromantis,Apteromantis_aptera,Apteromantis_aptera,NA,Nymph,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,4,C1,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,4,D3,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,2,B5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,2,D4,H,Mite,Prostigmata,Tetranychidae,Tetranychus,Tetranychus_urticae,Tetranychus_urticae,NA,Adult,1,LEMA,,11:20:00,Oscar and Maria,,Not flowers
13,2,2020,1,A1,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Stick,,,Lisa and Maria,,
13,2,2020,1,A2,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Stick,,,Lisa and Maria,,
13,2,2020,1,A3,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,Adult,1,Stick,7_13_2 ,,Lisa and Maria,,
13,2,2020,1,A5,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,1,Air,,,Lisa and Maria,,
13,2,2020,1,C4,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,BEMA,,,Lisa and Maria,,
13,2,2020,1,C2,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,LEMA,,,Lisa and Maria,,
13,2,2020,1,C2,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Stick,,,Lisa and Maria,,
13,2,2020,1,C1,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,NA,NA,1,Dry_HOMA,,,Lisa and Maria,,
13,2,2020,1,D6,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Stick,,,Lisa and Maria,,
13,2,2020,1,F5,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Stick,,,Lisa and Maria,,
13,2,2020,1,F3,H,Bug,Hemiptera,Aleyrodidae,NA,NA,Aleyrodidae,NA,NA,1,Stick,,,Lisa and Maria,,Small white hemiptera
13,2,2020,2,B5,P,Mantis,Dictyoptera,Mantidae,Apteromantis,Apteromantis_aptera,Apteromantis_aptera,NA,Nymph,1,Dry_HOMA,,,,,
13,2,2020,2,D5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,2,D4,H,Bug,Hemiptera,Aleyrodidae,NA,NA,Aleyrodidae,NA,NA,1,Stick,,,,,
13,2,2020,2,D4,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,Adult,1,Dry_HOMA,7_13_2 ,,,,
13,2,2020,2,F2,H,Beetle,Coleoptera,Elateridae,NA,NA,Elateridae,NA,NA,1,Ground,3_13_2,,,,
13,2,2020,2,F4,P,Mantis,Dictyoptera,Mantidae,Apteromantis,Apteromantis_aptera,Apteromantis_aptera,NA,Nymph,1,Dry_HOMA,2_13_2,,,,
13,2,2020,2,F5,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Stick,,,,,
13,2,2020,2,F5,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,Adult,1,Dry_HOMA,7_13_2 ,,,,
13,2,2020,3,F2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,3,E2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Stick,,,,,
13,2,2020,3,E2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,2,Dry_HOMA,,,,,
13,2,2020,3,E2,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,Adult,1,Dry_HOMA,7_13_2 ,,,,
13,2,2020,3,B5,H,Beetle,Coleoptera,Elateridae,NA,NA,Elateridae,NA,NA,1,Dry_HOMA,3_13_2,,,,
13,2,2020,3,B1,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,3,B2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,3,B3,H,Beetle,Coleoptera,Elateridae,NA,NA,Elateridae,NA,NA,1,Ground,3_13_2,,,,
13,2,2020,3,B4,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,Adult,1,Dry_HOMA,7_13_2 ,,,,
13,2,2020,3,B5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,3,B5,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,Adult,1,Dry_HOMA,7_13_2 ,,,,
13,2,2020,3,D4,H,Bug,Hemiptera,Aleyrodidae,NA,NA,Aleyrodidae,NA,NA,1,Dry_HOMA,,,,,
13,2,2020,3,D5,H,Bug,Hemiptera,Aleyrodidae,NA,NA,Aleyrodidae,NA,NA,1,Dry_HOMA,,,,,
13,2,2020,3,D5,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,,,,
13,2,2020,3,F3,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,3,F3,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,6_13_2,,,,
13,2,2020,3,F3,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,2,Dry_HOMA,,,,,
13,2,2020,3,F5,H,Beetle,Coleoptera,Elateridae,NA,NA,Elateridae,NA,NA,1,Dry_HOMA,3_13_2,,,,
13,2,2020,3,F5,P,Spider,Araneae,Sparassidae,Micrommata,Micrommata_ligurina,Micrommata_ligurina,NA,Adult,1,Dry_HOMA,1_13_2 ,,,,
13,2,2020,3,F6,H,Bug,Hemiptera,Aleyrodidae,NA,NA,Aleyrodidae,NA,NA,2,Dry_HOMA,,,,,
13,2,2020,5,B1,P,Spider,Araneae,NA,NA,NA,Araneae,NA,NA,1,Dry_HOMA,,,,,Small_spider_photo
13,2,2020,5,B2,P,Spider,Araneae,Sparassidae,Micrommata,Micrommata_ligurina,Micrommata_ligurina,NA,Adult,1,Ground,,,,,
13,2,2020,5,B2,P,Mantis,Dictyoptera,Mantidae,Apteromantis,Apteromantis_aptera,Apteromantis_aptera,NA,Nymph,1,Dry_HOMA,,,,,
13,2,2020,5,B3,H,Beetle,Coleoptera,Elateridae,NA,NA,Elateridae,NA,NA,2,Ground,3_13_2,,,,
13,2,2020,5,B4,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,NA,NA,1,Dry_HOMA,,,,,
13,2,2020,5,B4,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Salicornia,,,,,
13,2,2020,5,B5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,6_13_2,,,,
13,2,2020,5,D1,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,Adult,1,Salicornia,7_13_2 ,,,,
13,2,2020,5,D1,P,Spider,Araneae,Sparassidae,Micrommata,Micrommata_ligurina,Micrommata_ligurina,NA,Adult,1,Salicornia,,,,,
13,2,2020,5,D1,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,NA,1,Ground,7_13_2 ,,,,
13,2,2020,5,D3,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,NA,1,Ground,7_13_2 ,,,,
13,2,2020,5,D4,H,Bug,Hemiptera,Pentatomidae,Aelia,NA,Aelia_sp,NA,NA,1,Dry_HOMA,,,,,
13,2,2020,5,D5,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,NA,1,Ground,7_13_2 ,,,,
13,2,2020,5,D6,D,Slater,Isopoda,NA,NA,NA,Isopoda,NA,NA,1,Ground,,,,,
13,2,2020,5,D6,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,,,,
13,2,2020,5,F2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,5,F3,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,5,F4,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,,,,
13,2,2020,5,F4,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,5,F5,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,,,,
13,2,2020,5,F5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,2,Salicornia,,,,,
13,2,2020,4,B1,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,4,B2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,4,B3,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,2,Dry_HOMA,,,,,
13,2,2020,4,B4,P,Mantis,Dictyoptera,Mantidae,Apteromantis,Apteromantis_aptera,Apteromantis_aptera,NA,Nymph,1,Dry_HOMA,,,,,
13,2,2020,4,B5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,4,B6,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,NA,1,Dry_HOMA,7_13_2 ,,,,
13,2,2020,4,B6,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,4,B6,P,Spider,Araneae,Gnaphosidae,Trachyzelotes,NA,Trachyzelotes_sp,Small_spider,NA,1,Dry_HOMA,8_13_2,,,,
13,2,2020,4,D2,P,Spider,Araneae,Araneidae,Argiope,Argiope_trifasciata,Argiope_trifasciata,NA,Nymph,1,Dry_HOMA,,,,,
13,2,2020,4,D2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,4,D4,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,4,D4,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,Adult,1,Ground,7_13_2 ,,,,
13,2,2020,4,D5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,4,D6,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,3,Dry_HOMA,,,,,
13,2,2020,4,F3,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,6_13_2,,,,
13,2,2020,4,F5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,6_13_2,,,,
13,2,2020,4,E6,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,,,,
13,2,2020,1,A3,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,1,A4,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,1,Ground,,11:20:00,Lisa,,
13,2,2020,1,A6,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,1,Ground,,12:20:00,Lisa,,
13,2,2020,1,A6,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,2,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,1,B6,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,1,B4,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,LEMA,,11:20:00,Lisa,,
13,2,2020,1,B3,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,1,B2,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,2,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,1,E1,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,1,E2,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,1,F2,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,1,F6,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Stick,,11:20:00,Lisa,,
13,2,2020,2,A1,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,1,Ground,,11:20:00,Lisa,,
13,2,2020,2,A4,H,Beetle,Coleoptera,NA,NA,NA,Coleoptera,NA,NA,1,Stick,,11:20:00,Lisa,,Small_long_beetle
13,2,2020,2,C6,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,2,Ground,,11:20:00,Lisa,,
13,2,2020,2,C5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,2,C4,H,Snail,Pulmonata,Helicidae,Theba,Theba_pisana,Theba_pisana,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,2,C3,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,2,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,2,C2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,2,C2,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,2,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,2,E5,P,Spider,Araneae,Sparassidae,Micrommata,Micrommata_ligurina,Micrommata_ligurina,NA,NA,1,Ground,1_13_2 ,11:20:00,Lisa,,
13,2,2020,2,E6,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,2,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,3,F1,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,3,F1,P,Spider,Araneae,NA,NA,NA,Araneae,NA,NA,1,Ground,,11:20:00,Lisa,,wolf spider
13,2,2020,3,C1,P,Spider,Araneae,NA,NA,NA,Araneae,NA,NA,2,Ground,,11:20:00,Lisa,,wolf spider
13,2,2020,3,C1,H,Caterpillar,Lepidoptera,Erebidae,Coscinia,NA,Coscinia,Caterpilla,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,3,A1,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,LEMA,,11:20:00,Lisa,,
13,2,2020,3,A5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,3,A6,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,3,C3,P,Spider,Araneae,NA,NA,NA,Araneae,NA,NA,1,Ground,,11:20:00,Lisa,,wolf spider
13,2,2020,3,C5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,3,E3,P,Spider,Araneae,NA,NA,NA,Araneae,NA,NA,1,Ground,,11:20:00,Lisa,,wolf spider
13,2,2020,3,E6,P,Spider,Araneae,NA,NA,NA,Araneae,NA,NA,1,Ground,,11:20:00,Lisa,,wolf spider
13,2,2020,5,A1,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,A1,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,A2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,A3,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,A5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,A5,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,A6,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,3,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,C1,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,C3,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,C3,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,NA,1,Dry_HOMA,Black_spider_7_13_2,11:20:00,Lisa,,
13,2,2020,5,C5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,E2,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,NA,1,Dry_HOMA,Black_spider_7_13_2,11:20:00,Lisa,,
13,2,2020,5,E2,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,E3,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,NA,1,Dry_HOMA,Black_spider_7_13_2,11:20:00,Lisa,,
13,2,2020,5,E3,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,E4,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,E5,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,E5,P,Spider,Araneae,Sparassidae,Micrommata,Micrommata_ligurina,Micrommata_ligurina,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,5,E6,P,Spider,Araneae,Sparassidae,Micrommata,NA,Micrommata,NA,NA,1,Dry_HOMA,Black_spider_7_13_2,11:20:00,Lisa,,
13,2,2020,4,A1,P,Mantis,Dictyoptera,Mantidae,NA,NA,Mantis_ootheca,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,4,A2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Lisa,,
13,2,2020,4,A3,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Salicornia,,11:20:00,Lisa,,
13,2,2020,4,A3,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Dry_HOMA,,11:20:00,Lisa,,
